Rllm_org,Rllm_new,Ra,Rb-expert,Rb-hsteacher,Rb-student,Rc,Rd,Re,Rf,Rh
71.24341238471673,64.07939016527956,65.43463157894739,62.639181751873224,63.76464809384166,65.53498771067416,59.270417023578744,63.69235389610391,71.66213058294666,64.53034687237616,76.23079551667578
62.64376880499577,62.083181818181856,69.54949037679589,69.1184058988764,66.82102485035374,63.606287878787896,73.27869115332146,75.85114059853193,66.18780913978497,81.2317073170732,73.8502886247878
52.13250000000002,66.80355747642571,59.12046240601504,54.72122541436465,50.91079207920794,59.10244698524383,59.37530118255728,65.63166666666666,67.40434188839181,66.52746844319776,55.930772946859946
63.93047619047621,68.68952227514713,74.39875784753364,67.47181967213115,72.49781196241895,73.78537914691944,71.77054694229113,70.38272199405186,75.41985714285715,70.66610187110189,79.29978260869568
45.75916666666669,60.54458549515002,70.27326086956523,67.43877692307696,67.90117053789733,63.223969975893056,65.37860187110189,67.3257843137255,67.10045872892852,68.96650885193135,72.60049369290999
64.17077511473738,60.165866004962766,68.68205927106735,64.76173497267763,61.73782528884573,74.565,67.1180113636364,65.81869565217391,64.62709930631618,59.670562851782364,71.47198441558443
49.1224835924007,61.48725164515315,54.25127335243553,50.643890957997115,49.51463665086888,61.067441681422764,57.622741555381,63.1375243445693,56.87841905143088,59.80594427244583,67.18690476190478
55.721273291925485,66.5144046943025,67.30883293092589,64.87074701591516,59.21378503075874,68.17192257816629,62.50724056603775,67.98247465663835,66.85158926728587,54.204374193548404,68.19707792207794
53.43100000000004,63.41419143576829,62.44089873417721,59.42048594132032,60.02463109354417,58.68245682157058,59.277618556701015,58.69503249767877,59.470337007874036,58.95915866873068,70.28370635184574
54.34907258064516,74.00262725678961,71.64058462374356,64.39983451536645,64.03039765319429,71.913218257646,62.986557177615595,72.30617198335646,74.40115436696007,69.53810383645535,75.6262139721321
56.89500000000001,60.80672760640928,57.07222375199859,41.294110889110925,59.8772676946067,54.06061117936122,57.7836394258934,69.52115176151764,61.169307193396236,56.14185064935066,62.03189147203773
53.48300000000003,61.19626050420172,50.568157671876236,62.106489661654166,56.05711409395974,57.38201247895418,60.86418106116892,70.9497309140283,66.19673866090712,49.20902813299236,62.92594874371859
41.50932254196647,63.746907081303874,59.20648148148149,45.7393922651934,61.57503562294485,62.298927068723714,63.78409888357257,63.82187500000002,64.97916666666669,58.677561475409874,66.99389676113361
59.21945307443366,53.9237695115811,58.69459090909095,64.48142904187469,59.993715846994576,60.30028940658323,66.77625158696576,59.6371828454032,64.5830569666183,50.548333333333375,61.695791564291596
