-llm_org,-llm_new
58.672253424657555,51.501846153846174
51.07260869565218,59.01299366342474
58.42368421052632,59.56658582089554
54.09433333333334,55.387799043062216
40.66052884615385,57.68605610561056
53.759545454545474,56.74872614503818
52.45736363636365,52.1090045248869
58.09929429429434,48.94776991150445
49.261541149068336,54.347875000000016
53.46807561597282,59.262711394689376
46.57247252747257,51.92031584884381
50.936539325842716,58.76149428531116
39.85510752688174,50.71236111111111
42.2387757731959,57.04354989561591
42.24652983032297,46.47268053855572
57.21857462686569,53.6656952042305
67.5107287449393,58.31371112396937
71.0876153846154,56.28911877394637
54.288238993710706,51.8912105263158
45.01987603305787,46.35129943502827
53.490692567567606,60.93957455639722
37.52000000000004,55.03503750937736
45.88748134328361,45.36523135221381
51.485555555555564,57.088143688269525
56.97500000000002,60.44081763698634
50.48510526315792,51.51699248120303
47.2915697674419,46.609583333333376
43.27014705882357,59.21929553264607
60.692500000000024,49.55957452041321
64.14390654205609,64.46038944319282
48.03887387387388,57.30606605351173
60.657857142857154,62.12934365781712
45.736007165605116,57.44063137091743
60.507525252525284,55.65750456204381
57.82214285714289,52.5872707852194
54.99428571428572,50.673169677926154
39.67880782069628,51.6087375013735
41.222710798816564,59.489710779183724
51.44750000000002,61.756127819548865
53.90653846153849,51.483816953889175
41.397272727272735,59.826552037845715
52.717883944153584,56.74570643763545
55.1972916666667,58.61700338864222
91.34100000000001,70.82485465116281
55.008392857142866,54.73414653784221
50.37569023569026,56.47378031140987
48.737283236994216,50.48885103383461
43.21063561377974,56.78873245367771
38.6584782608696,49.66278846153847
49.44890243902441,55.81826979472143
